event,eventLabel,date
http://www.wikidata.org/entity/Q115909047,2023 Australia National Road Cycling Championships - Women ITT,2023-01-10T00:00:00Z
http://www.wikidata.org/entity/Q115846584,Contre-la-montre masculin aux championnats d'Australie de cyclisme sur route 2023,2023-01-10T00:00:00Z
http://www.wikidata.org/entity/Q115836252,Course en ligne masculine aux championnats d'Australie de cyclisme sur route 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q114919375,2023 Supercopa do Brasil,2023-01-18T00:00:00Z
http://www.wikidata.org/entity/Q116170974,"2023 New Zealand Cycle Classic, stage 5",2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q116170940,"2023 New Zealand Cycle Classic, stage 4",2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q116170931,"2023 New Zealand Cycle Classic, stage 3",2023-01-13T00:00:00Z
http://www.wikidata.org/entity/Q116170898,"2023 New Zealand Cycle Classic, stage 2",2023-01-12T00:00:00Z
http://www.wikidata.org/entity/Q116170878,"2023 New Zealand Cycle Classic, stage 1",2023-01-11T00:00:00Z
http://www.wikidata.org/entity/Q116152751,New Zealand Cycle Classic 2023,2023-01-11T00:00:00Z
http://www.wikidata.org/entity/Q116152533,Sharjah Tour 2023,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116152348,Vuelta del Porvenir de San Luis 2023,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q116152259,Vuelta al Táchira 2023,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q116152195,Giro del Sol San Juan 2023,2023-01-06T00:00:00Z
http://www.wikidata.org/entity/Q116152002,Tropicale Amissa Bongo 2023,2023-01-23T00:00:00Z
http://www.wikidata.org/entity/Q116152586,Saudi Tour 2023,2023-01-30T00:00:00Z
http://www.wikidata.org/entity/Q115788484,Étoile de Bessèges 2023,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q116214152,2023 Gran Premio Valencia,2023-01-22T00:00:00Z
http://www.wikidata.org/entity/Q116610838,2023 Trofeo Playa de Palma,2023-01-29T00:00:00Z
http://www.wikidata.org/entity/Q116609338,2023 Trofeo Serra de Tramuntana,2023-01-28T00:00:00Z
http://www.wikidata.org/entity/Q116609087,2023 Trofeo Andratx-Mirador D'es Colomer,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116446204,2023 Ses Salines-Alcudia,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116378443,2023 Trofeo Calvià,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q116007706,Grand Prix La Marseillaise 2023,2023-01-29T00:00:00Z
http://www.wikidata.org/entity/Q116024946,Cadel Evans Great Ocean Road Race 2023,2023-01-29T00:00:00Z
http://www.wikidata.org/entity/Q115769573,Tour Down Under 2023,2023-01-17T00:00:00Z
http://www.wikidata.org/entity/Q116380551,2023 Challenge Mallorca,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q116482592,Wiki Explores Nadia - Phase II,2023-01-23T00:00:00Z
http://www.wikidata.org/entity/Q115923144,211st Diet,2023-01-23T00:00:00Z
http://www.wikidata.org/entity/Q114081320,80e cérémonie des Golden Globes,2023-01-10T00:00:00Z
http://www.wikidata.org/entity/Q116183614,2023 Guangzhou car attack,2023-01-11T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116213506,Shin Jidai 2023,2023-01-13T00:00:00Z
http://www.wikidata.org/entity/Q116240726,traité d'amitié et de coopération entre la France et l’Espagne,2023-01-19T00:00:00Z
http://www.wikidata.org/entity/Q116206525,Frappe aérienne du 14 janvier 2023 à Dnipro,2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q115605536,2023 Kazakh Senate election,2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q116246018,accident d'hélicoptère de 2023 à Brovary,2023-01-18T00:00:00Z
http://www.wikidata.org/entity/Q116205343,vol Yeti Airlines 691,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q116447988,mort de Tyre Nichols,2023-01-10T00:00:00Z
http://www.wikidata.org/entity/Q116198414,Murder of Péter Baumann,2023-01-13T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116529172,Second round of 2023 Czech presidential election,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116527702,First round of 2023 Czech presidential election,2023-01-13T00:00:00Z
http://www.wikidata.org/entity/Q116264984,2023 New Zealand Labour Party leadership election,2023-01-22T00:00:00Z
http://www.wikidata.org/entity/Q115518493,2023 Democratic Progressive Party chairpersonship by-election,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q84026062,élection présidentielle népalaise de 2023,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q114130194,2023 Centre Party (Sweden) leadership election,2023-02-02T00:00:00Z
http://www.wikidata.org/entity/Q116485898,attentat du 30 janvier 2023 à Peshawar,2023-01-30T00:00:00Z
http://www.wikidata.org/entity/Q115683123,UFC Fight Night: Gastelum vs. Imavov,2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q113613998,UFC 283,2023-01-21T00:00:00Z
http://www.wikidata.org/entity/Q112845625,Snooker Shoot-Out 2023,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q112845046,World Grand Prix 2023,2023-01-16T00:00:00Z
http://www.wikidata.org/entity/Q112505250,Masters d'Allemagne de snooker 2023,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q111915333,Masters 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116060644,Mexico City Metro train collision of 2023,2023-01-07T00:00:00Z
http://www.wikidata.org/entity/Q111721418,Championnats des quatre continents de patinage artistique 2023,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q116432807,shooting of Abby Zwerner,2023-01-06T00:00:00Z
http://www.wikidata.org/entity/Q116432807,shooting of Abby Zwerner,2023-01-06T00:00:00Z
